Office,Dingwall
Station Name,Alness
Location Code,234152
Parameter,River Stage(SG)
Timeseries,SG.15m.Cmd
Data to be used in accordance with the SEPA General Data Reuse Statement, http://apps.sepa.org.uk/riverlevels/data/frequently-asked-questions.aspx
Date/Time,SG(m)
22/05/2016 11:30:00,0.788
22/05/2016 11:45:00,0.787
22/05/2016 12:00:00,0.787
22/05/2016 12:15:00,0.789
22/05/2016 12:30:00,0.789
22/05/2016 12:45:00,0.791
22/05/2016 13:00:00,0.792
22/05/2016 13:15:00,0.793
22/05/2016 13:30:00,0.794
22/05/2016 13:45:00,0.795
22/05/2016 14:00:00,0.798
22/05/2016 14:15:00,0.8
22/05/2016 14:30:00,0.803
22/05/2016 14:45:00,0.804
22/05/2016 15:00:00,0.807
22/05/2016 15:15:00,0.81
22/05/2016 15:30:00,0.81
22/05/2016 15:45:00,0.813
22/05/2016 16:00:00,0.815
22/05/2016 16:15:00,0.818
22/05/2016 16:30:00,0.82
22/05/2016 16:45:00,0.832
22/05/2016 17:00:00,0.837
22/05/2016 17:15:00,0.847
22/05/2016 17:30:00,0.857
22/05/2016 17:45:00,0.872
22/05/2016 18:00:00,0.889
22/05/2016 18:15:00,0.906
22/05/2016 18:30:00,0.925
22/05/2016 18:45:00,0.942
22/05/2016 19:00:00,0.948
22/05/2016 19:15:00,0.956
22/05/2016 19:30:00,0.959
22/05/2016 19:45:00,0.964
22/05/2016 20:00:00,0.97
22/05/2016 20:15:00,0.974
22/05/2016 20:30:00,0.974
22/05/2016 20:45:00,0.98
22/05/2016 21:00:00,0.982
22/05/2016 21:15:00,0.986
22/05/2016 21:30:00,0.985
22/05/2016 21:45:00,0.988
22/05/2016 22:00:00,0.99
22/05/2016 22:15:00,0.994
22/05/2016 22:30:00,0.993
22/05/2016 22:45:00,0.999
22/05/2016 23:00:00,0.999
22/05/2016 23:15:00,1.001
22/05/2016 23:30:00,1.001
22/05/2016 23:45:00,1.004
23/05/2016 00:00:00,1.003
23/05/2016 00:15:00,1.003
23/05/2016 00:30:00,1.005
23/05/2016 00:45:00,1.007
23/05/2016 01:00:00,1.0
23/05/2016 01:15:00,0.999
23/05/2016 01:30:00,0.995
23/05/2016 01:45:00,0.992
23/05/2016 02:00:00,0.985
23/05/2016 02:15:00,0.983
23/05/2016 02:30:00,0.98
23/05/2016 02:45:00,0.977
23/05/2016 03:00:00,0.971
23/05/2016 03:15:00,0.966
23/05/2016 03:30:00,0.963
23/05/2016 03:45:00,0.959
23/05/2016 04:00:00,0.956
23/05/2016 04:15:00,0.948
23/05/2016 04:30:00,0.945
23/05/2016 04:45:00,0.942
23/05/2016 05:00:00,0.938
23/05/2016 05:15:00,0.934
23/05/2016 05:30:00,0.931
23/05/2016 05:45:00,0.927
23/05/2016 06:00:00,0.923
23/05/2016 06:15:00,0.919
23/05/2016 06:30:00,0.917
23/05/2016 06:45:00,0.915
23/05/2016 07:00:00,0.911
23/05/2016 07:15:00,0.909
23/05/2016 07:30:00,0.905
23/05/2016 07:45:00,0.901
23/05/2016 08:00:00,0.897
23/05/2016 08:15:00,0.894
23/05/2016 08:30:00,0.89
23/05/2016 08:45:00,0.889
23/05/2016 09:00:00,0.886
23/05/2016 09:15:00,0.883
23/05/2016 09:30:00,0.881
23/05/2016 09:45:00,0.878
23/05/2016 10:00:00,0.874
23/05/2016 10:15:00,0.871
23/05/2016 10:30:00,0.87
23/05/2016 10:45:00,0.866
